hud_area_code,hud_area_name,designated_year,implemented,cohort
METRO10420M10420,"Akron, OH MSA",2023,2025-01-01,expansion41
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",2016,2018-04-01,final24
METRO12260M12260,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO13140M13140,"Beaumont-Port Arthur, TX MSA",2023,2025-01-01,expansion41
METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",2016,2018-04-01,final24
METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO15380M15380,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",2023,2025-01-01,expansion41
METRO16700M16700,"Charleston-North Charleston, SC MSA",2023,2025-01-01,expansion41
METRO16740M16740,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",2016,2018-04-01,final24
METRO16860M16860,"Chattanooga, TN-GA MSA",2023,2025-01-01,expansion41
METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",2016,2018-04-01,final24
METRO17140M17140,"Cincinnati, OH-KY-IN HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO17410N17460,"Cleveland, OH HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",2016,2018-04-01,final24
METRO18140M18140,"Columbus, OH HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO19100M19100,"Dallas, TX HUD Metro FMR Area",2011,2011-10-01,dallas_court
METRO19430M19430,"Dayton-Kettering, OH MSA",2023,2025-01-01,expansion41
METRO19780M19780,"Des Moines-West Des Moines, IA HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",2016,2018-04-01,final24
METRO23060M23060,"Fort Wayne, IN MSA",2023,2025-01-01,expansion41
METRO19100MM2800,"Fort Worth-Arlington, TX HUD Metro FMR Area",2016,2018-04-01,final24
METRO16980MM2960,"Gary, IN HUD Metro FMR Area",2016,2018-04-01,final24
METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO25420M25420,"Harrisburg-Carlisle, PA MSA",2023,2025-01-01,expansion41
METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",2016,2018-04-01,final24
METRO26900M26900,"Indianapolis-Carmel, IN HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO27140M27140,"Jackson, MS HUD Metro FMR Area",2016,2018-04-01,final24
METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",2016,2018-04-01,final24
